,Generation,Best Solution,CrossOver,Mutation,Iteration
2,1000,3644,OX,ISM,0
1,10000,3641,OX,ISM,0
0,20000,3513,OX,ISM,0
2,1000,3644,OX,IVM,0
1,10000,3610,OX,IVM,0
0,20000,3589,OX,IVM,0
2,1000,3644,OX,SM,0
1,10000,3628,OX,SM,0
0,20000,3628,OX,SM,0
2,1000,3543,OX,RM,0
1,10000,3498,OX,RM,0
0,20000,3460,OX,RM,0
2,1000,3154,SCX,ISM,0
1,10000,3154,SCX,ISM,0
0,20000,3154,SCX,ISM,0
2,1000,3145,SCX,IVM,0
1,10000,3145,SCX,IVM,0
0,20000,3145,SCX,IVM,0
2,1000,3154,SCX,SM,0
1,10000,3154,SCX,SM,0
0,20000,3154,SCX,SM,0
2,1000,3241,SCX,RM,0
1,10000,3241,SCX,RM,0
0,20000,3241,SCX,RM,0
2,1000,3484,OX,ISM,1
1,10000,3484,OX,ISM,1
0,20000,3419,OX,ISM,1
2,1000,3476,OX,IVM,1
1,10000,3476,OX,IVM,1
0,20000,3462,OX,IVM,1
2,1000,3492,OX,SM,1
1,10000,3492,OX,SM,1
0,20000,3492,OX,SM,1
2,1000,3169,OX,RM,1
1,10000,3169,OX,RM,1
0,20000,3169,OX,RM,1
2,1000,3183,SCX,ISM,1
1,10000,3183,SCX,ISM,1
0,20000,3183,SCX,ISM,1
2,1000,3183,SCX,IVM,1
1,10000,3183,SCX,IVM,1
0,20000,3183,SCX,IVM,1
2,1000,3183,SCX,SM,1
1,10000,3183,SCX,SM,1
0,20000,3183,SCX,SM,1
2,1000,3181,SCX,RM,1
1,10000,3181,SCX,RM,1
0,20000,3181,SCX,RM,1
2,1000,3238,OX,ISM,2
1,10000,3210,OX,ISM,2
0,20000,3210,OX,ISM,2
2,1000,3270,OX,IVM,2
1,10000,3259,OX,IVM,2
0,20000,3240,OX,IVM,2
2,1000,3270,OX,SM,2
1,10000,3270,OX,SM,2
0,20000,3115,OX,SM,2
2,1000,3215,OX,RM,2
1,10000,3118,OX,RM,2
0,20000,3105,OX,RM,2
2,1000,3112,SCX,ISM,2
1,10000,3112,SCX,ISM,2
0,20000,3112,SCX,ISM,2
2,1000,3112,SCX,IVM,2
1,10000,3112,SCX,IVM,2
0,20000,3112,SCX,IVM,2
2,1000,3112,SCX,SM,2
1,10000,3112,SCX,SM,2
0,20000,3112,SCX,SM,2
2,1000,3275,SCX,RM,2
1,10000,3257,SCX,RM,2
0,20000,3183,SCX,RM,2
2,1000,3187,OX,ISM,3
1,10000,3187,OX,ISM,3
0,20000,3172,OX,ISM,3
2,1000,3336,OX,IVM,3
1,10000,3325,OX,IVM,3
0,20000,3303,OX,IVM,3
2,1000,3811,OX,SM,3
1,10000,3811,OX,SM,3
0,20000,3807,OX,SM,3
2,1000,4667,OX,RM,3
1,10000,4588,OX,RM,3
0,20000,4584,OX,RM,3
2,1000,2990,SCX,ISM,3
1,10000,2990,SCX,ISM,3
0,20000,2990,SCX,ISM,3
2,1000,2990,SCX,IVM,3
1,10000,2990,SCX,IVM,3
0,20000,2990,SCX,IVM,3
2,1000,2990,SCX,SM,3
1,10000,2990,SCX,SM,3
0,20000,2990,SCX,SM,3
2,1000,3180,SCX,RM,3
1,10000,3180,SCX,RM,3
0,20000,3173,SCX,RM,3
2,1000,3784,OX,ISM,4
1,10000,3777,OX,ISM,4
0,20000,3777,OX,ISM,4
2,1000,4216,OX,IVM,4
1,10000,3925,OX,IVM,4
0,20000,3890,OX,IVM,4
2,1000,3874,OX,SM,4
1,10000,3874,OX,SM,4
0,20000,3874,OX,SM,4
2,1000,3714,OX,RM,4
1,10000,3714,OX,RM,4
0,20000,3704,OX,RM,4
2,1000,3117,SCX,ISM,4
1,10000,3117,SCX,ISM,4
0,20000,3117,SCX,ISM,4
2,1000,3148,SCX,IVM,4
1,10000,3148,SCX,IVM,4
0,20000,3110,SCX,IVM,4
2,1000,3117,SCX,SM,4
1,10000,3117,SCX,SM,4
