iteration,best_solution,average_solution
0,3091,27245.06
1,3091,26640.7
2,3091,26015.5
3,3091,26022.58
4,3091,26023.86
5,3091,26034.64
6,3091,25418.94
7,3091,25411.24
8,3091,24785.96
9,3091,24184.08
10,3091,23579.7
11,3091,22973.88
12,3091,22346.0
13,3091,22354.06
14,3091,22345.28
15,3091,22353.1
16,3091,21728.84
17,3091,21726.52
18,3091,21745.06
19,3091,21740.28
20,3091,21131.36
21,3091,20532.04
22,3091,19919.88
23,3091,19299.78
24,3091,18702.26
25,3091,18115.08
26,3155,18121.98
27,3155,18124.5
28,3155,17493.66
29,3155,16895.36
30,3155,16889.02
31,3155,16886.9
32,3155,16890.22
33,3155,16882.66
34,3155,16881.16
35,3155,16268.94
36,3155,16282.3
37,3155,16277.38
38,3155,15666.14
39,3155,15077.68
40,3155,15080.0
41,3155,15075.2
42,3155,15075.26
43,3155,15080.28
44,3155,14445.52
45,3155,13830.1
46,3155,13837.56
47,3155,13822.6
48,3155,13822.7
49,3155,13223.24
50,3155,13219.74
51,3155,13219.36
52,3155,12611.78
53,3155,12617.82
54,3155,12009.82
55,3155,11409.66
56,3155,11408.34
57,3155,10814.3
58,3155,10810.1
59,3155,10808.74
60,3155,10809.94
61,3155,10809.08
62,3155,10179.9
63,3155,10177.5
64,3155,10177.14
65,3155,10169.66
66,3107,10164.7
67,3107,10165.4
68,3107,10164.56
69,3107,9531.44
70,3107,9528.78
71,3107,9523.7
72,3107,9521.62
73,3107,9524.78
74,3107,9520.96
75,3107,8903.64
76,3107,8906.6
77,3107,8904.32
78,3107,8911.26
79,3155,8915.42
80,3155,8929.76
81,3155,8923.46
82,3155,8925.04
83,3145,8316.94
84,3145,8318.16
85,3145,8314.8
86,3145,8317.4
87,3145,7698.54
88,3145,7692.68
89,3145,7698.08
90,3145,7698.9
91,3145,7703.06
92,3145,7098.74
93,3145,7092.02
94,3145,7078.12
95,3145,7084.9
96,3145,7086.32
97,3145,7092.86
98,3145,7099.38
99,3145,7095.04
100,3145,7097.98
101,3145,7100.18
102,3145,6487.0
103,3145,6485.38
104,3145,6489.5
105,3145,6493.42
106,3145,6494.24
107,3145,5878.24
108,3145,5867.98
109,3145,5867.58
110,3145,5872.84
111,3145,5872.84
112,3145,5871.46
113,3145,5877.18
114,3145,5878.22
115,3145,5874.38
116,3145,5873.16
117,3145,5869.5
118,3145,5858.46
119,3145,5859.44
120,3145,5257.2
121,3145,5258.98
122,3145,5250.72
123,3145,5252.14
124,3145,5254.6
125,3145,5254.5
126,3145,5251.7
127,3145,5252.22
128,3145,5251.6
129,3145,5252.02
130,3145,5249.42
131,3145,5249.66
132,3145,5252.36
133,3145,5256.56
134,3145,5257.36
135,3145,5262.88
136,3145,5262.54
137,3145,5255.36
138,3145,5257.2
139,3145,5255.26
140,3145,5255.56
141,3145,5245.22
142,3145,5241.94
143,3145,5249.24
144,3145,5240.86
145,3145,5238.36
146,3145,5243.46
147,3145,5240.62
148,3145,5239.36
149,3145,5237.24
150,3145,5223.76
151,3145,5217.1
152,3145,5212.94
153,3145,5218.8
154,3145,5214.6
155,3145,5216.64
156,3145,5214.7
157,3145,5220.0
158,3145,5215.02
159,3145,5213.76
160,3145,5212.82
161,3145,5213.56
162,3145,5208.02
163,3145,5205.22
164,3145,5204.48
165,3145,5198.34
166,3145,5198.06
167,3145,5196.04
168,3145,5189.38
169,3145,5186.42
170,3145,5188.44
171,3145,5181.82
172,3145,5183.08
173,3145,5184.34
174,3145,5183.18
175,3145,5185.3
176,3145,5181.12
177,3145,5171.64
178,3145,5169.0
179,3145,5167.78
180,3145,5164.02
181,3145,5165.28
182,3145,5165.64
183,3101,5159.66
184,3101,5160.92
185,3101,5157.76
186,3101,5156.62
187,3101,5154.3
188,3101,5152.8
189,3101,5156.32
190,3101,5157.84
191,3101,5156.98
192,3101,5156.98
193,3101,5166.4
194,3101,5164.9
195,3101,5165.8
196,3101,5165.8
197,3101,5164.3
198,3101,4528.86
199,3101,3959.4
200,3101,3952.62
201,3101,3952.98
202,3101,3955.58
203,3101,3317.58
204,3101,3316.74
205,3101,3315.6
206,3101,3321.0
207,3101,3324.4
208,3101,3325.2
209,3101,3326.92
210,3101,3322.2
211,3101,3323.2
212,3101,3323.2
213,3101,3323.82
214,3101,3323.82
215,3101,3318.48
216,3157,3321.96
217,3157,3320.3
218,3157,3319.94
219,3157,3312.32
220,3157,3312.32
221,3157,3306.56
222,3157,3304.16
223,3157,3306.18
224,3157,3305.56
225,3157,3298.9
226,3157,3294.08
227,3157,3292.06
228,3157,3290.08
229,3157,3291.34
230,3158,3292.2
231,3158,3292.2
232,3158,3292.82
233,3158,3290.72
234,3158,3284.48
235,3158,3283.86
236,3158,3274.6
237,3158,3273.12
238,3158,3274.16
239,3158,3274.16
240,3158,3272.66
241,3158,3271.16
242,3158,3268.46
243,3158,3268.0
244,3158,3267.02
245,3158,3266.56
246,3158,3266.4
247,3158,3267.28
248,3158,3266.66
249,3158,3266.82
250,3158,3266.82
251,3158,3270.58
252,3158,3270.58
253,3158,3271.56
254,3158,3270.94
255,3158,3271.56
256,3158,3271.56
257,3158,3266.62
258,3158,3267.26
259,3158,3265.76
260,3158,3265.14
261,3158,3262.74
262,3158,3262.74
263,3158,3258.98
264,3158,3257.64
265,3158,3255.12
266,3158,3248.72
267,3158,3248.72
268,3158,3247.22
269,3158,3246.08
270,3158,3246.96
271,3158,3244.68
272,3158,3243.18
273,3158,3239.82
274,3158,3236.08
275,3158,3234.58
276,3158,3234.58
277,3158,3236.08
278,3158,3234.94
279,3158,3233.6
280,3158,3233.6
281,3158,3238.26
282,3158,3238.26
283,3158,3238.42
284,3158,3247.62
285,3158,3246.9
286,3158,3245.76
287,3158,3245.14
288,3158,3245.14
289,3158,3245.14
290,3158,3245.14
291,3158,3244.52
292,3158,3244.68
293,3158,3244.52
294,3158,3244.52
295,3158,3244.52
296,3158,3244.26
297,3158,3244.98
298,3158,3244.98
299,3158,3249.64
300,3158,3249.64
301,3158,3246.12
302,3158,3245.28
303,3158,3245.44
304,3158,3244.82
305,3158,3244.98
306,3158,3245.14
307,3158,3246.02
308,3158,3244.68
309,3158,3243.8
310,3158,3244.64
311,3158,3244.64
312,3158,3243.76
313,3158,3247.4
314,3158,3246.52
315,3158,3246.52
316,3158,3246.36
317,3200,3248.08
318,3200,3251.34
319,3200,3250.46
320,3200,3250.46
321,3200,3249.58
322,3200,3249.58
323,3200,3246.48
324,3200,3246.64
325,3200,3245.76
326,3200,3245.76
327,3200,3245.76
328,3200,3245.76
329,3200,3245.76
330,3200,3245.76
331,3200,3245.04
332,3200,3235.84
333,3200,3242.1
334,3200,3242.1
335,3200,3237.44
336,3200,3237.44
337,3200,3237.6
338,3200,3237.44
339,3200,3237.44
340,3200,3230.3
341,3200,3230.3
342,3200,3235.24
343,3200,3235.24
344,3200,3235.24
345,3200,3235.24
346,3200,3235.24
347,3200,3235.24
348,3200,3234.36
349,3200,3234.2
350,3200,3233.32
351,3200,3231.82
352,3200,3242.24
353,3200,3242.24
354,3200,3242.24
355,3200,3241.36
356,3200,3237.56
357,3200,3236.42
358,3200,3236.42
359,3200,3245.34
360,3200,3249.32
361,3200,3249.32
362,3200,3245.18
363,3200,3245.18
364,3200,3245.18
365,3200,3245.02
366,3200,3250.02
367,3200,3239.76
368,3200,3239.86
369,3200,3239.86
370,3200,3239.86
371,3200,3239.86
372,3200,3239.7
373,3200,3239.7
374,3200,3244.04
375,3200,3244.04
376,3200,3243.16
377,3200,3236.58
378,3200,3236.42
379,3200,3236.42
380,3200,3236.42
381,3200,3236.42
382,3200,3236.26
383,3200,3236.26
384,3200,3235.38
385,3200,3235.38
386,3200,3235.38
387,3200,3232.8
388,3200,3232.8
389,3200,3232.8
390,3200,3232.8
391,3200,3232.8
392,3200,3232.8
393,3200,3232.8
394,3200,3232.8
395,3200,3236.56
396,3200,3235.68
397,3200,3235.68
398,3200,3235.52
399,3200,3237.96
400,3200,3237.96
401,3200,3237.96
402,3200,3237.96
403,3200,3238.84
404,3200,3238.84
405,3200,3238.68
406,3200,3238.68
407,3200,3238.68
408,3200,3238.52
409,3200,3237.64
410,3200,3236.66
411,3200,3242.44
412,3200,3242.44
413,3200,3242.44
414,3200,3242.44
415,3200,3242.44
416,3200,3242.44
417,3200,3247.34
418,3200,3247.34
419,3200,3247.34
420,3200,3247.34
421,3200,3246.46
422,3200,3244.02
423,3200,3244.02
424,3200,3244.02
425,3200,3244.02
426,3200,3244.02
427,3200,3243.14
428,3200,3243.14
429,3200,3242.98
430,3200,3242.98
431,3200,3242.98
432,3200,3242.98
433,3200,3242.98
434,3200,3242.98
435,3200,3242.98
436,3200,3242.98
437,3200,3242.98
438,3200,3237.16
439,3200,3228.24
440,3200,3228.24
441,3200,3226.74
442,3200,3221.74
443,3200,3221.74
444,3200,3225.38
445,3200,3225.38
446,3200,3225.38
447,3200,3225.38
448,3200,3225.38
449,3200,3221.74
450,3200,3221.74
451,3200,3221.74
452,3200,3221.74
453,3200,3221.74
454,3200,3221.74
455,3200,3221.74
456,3200,3215.9
457,3200,3215.9
458,3200,3215.9
459,3200,3221.42
460,3200,3221.26
461,3200,3216.36
462,3200,3216.36
463,3200,3225.14
464,3200,3225.14
465,3200,3225.14
466,3200,3225.14
467,3200,3225.14
468,3200,3225.14
469,3200,3225.14
470,3200,3225.14
471,3200,3225.14
472,3200,3225.14
473,3200,3219.62
474,3200,3213.84
475,3200,3213.84
476,3200,3213.84
477,3200,3213.84
478,3200,3213.84
479,3200,3213.84
480,3200,3213.84
481,3200,3213.84
482,3200,3210.08
483,3200,3212.42
484,3200,3212.42
485,3200,3203.64
486,3200,3203.64
487,3200,3203.64
488,3200,3203.64
489,3200,3203.64
490,3200,3203.64
491,3200,3203.48
492,3200,3203.48
493,3200,3203.48
494,3200,3203.48
495,3200,3203.48
496,3200,3203.48
497,3200,3203.48
498,3200,3211.02
499,3200,3211.02
500,3200,3211.02
501,3200,3217.4
502,3200,3217.4
503,3200,3217.4
504,3200,3217.4
505,3200,3217.4
506,3200,3217.4
507,3200,3217.4
508,3200,3217.4
509,3200,3217.4
510,3200,3217.4
511,3200,3217.4
512,3200,3209.86
513,3200,3209.86
514,3200,3209.86
515,3200,3209.86
516,3200,3209.86
517,3200,3209.86
518,3200,3209.86
519,3200,3209.86
520,3200,3209.86
521,3200,3203.48
522,3200,3203.48
523,3200,3203.48
524,3200,3203.48
525,3200,3203.48
526,3200,3203.48
527,3200,3203.48
528,3200,3203.48
529,3200,3203.48
530,3200,3203.48
531,3200,3203.48
532,3200,3203.48
533,3200,3203.48
534,3200,3203.48
535,3200,3203.48
536,3200,3203.48
537,3200,3203.48
538,3200,3201.14
539,3200,3201.14
540,3200,3201.14
541,3200,3201.14
542,3200,3201.14
543,3200,3201.14
544,3200,3205.12
545,3200,3205.12
