iteration,best_solution,average_solution
0,3091,26647.88
1,3091,26023.54
2,3091,24802.5
3,3091,24186.8
4,3091,22987.04
5,3091,22387.46
6,3091,21760.1
7,3091,21687.76
8,3091,21064.96
9,3091,20457.46
10,3091,19237.88
11,3091,19020.3
12,3091,17771.22
13,3091,17168.68
14,3091,17196.4
15,3091,16983.4
16,3091,16381.38
17,3091,16386.0
18,3091,15759.5
19,3091,14638.46
20,3091,14044.36
21,3091,12804.78
22,3091,12647.44
23,3091,12654.62
24,3091,12664.62
25,3091,12061.6
26,3091,11427.56
27,3091,10822.0
28,3091,10196.74
29,3091,9613.78
30,3091,9588.02
31,3091,9601.54
32,3091,8994.58
33,3091,9623.58
34,3091,9633.52
35,3091,9022.82
36,3091,8204.98
37,3091,7600.34
38,3091,7588.48
39,3091,7547.9
40,3091,7326.48
41,3091,6718.18
42,3091,6129.4
43,3091,5755.96
44,3091,5499.12
45,3091,5505.98
46,3091,5511.98
47,3091,5505.72
48,3091,5529.58
49,3091,5517.12
50,3091,5528.44
51,3091,4954.46
52,3091,4953.08
53,3091,4391.76
54,3091,4409.3
55,3091,4381.98
56,3091,4365.24
57,3091,4354.46
58,3091,4345.46
59,3091,4336.16
60,3091,4333.36
61,3091,4357.88
62,3091,4349.66
63,3091,4326.12
64,3091,4328.46
65,3091,4315.9
66,3091,4325.26
67,3091,4304.4
68,3091,4312.36
69,3091,4320.22
70,3091,4315.04
71,3091,3537.02
72,3114,3551.24
73,3114,3538.06
74,3114,3544.68
75,3114,3552.48
76,3114,3560.98
77,3114,3547.34
78,3114,3562.68
79,3114,3550.68
80,3114,3537.4
81,3114,3538.64
82,3114,3516.02
83,3114,3509.16
84,3114,3536.88
85,3114,3557.78
86,3114,3562.62
87,3114,3558.8
88,3114,3545.24
89,3114,3558.34
90,3114,3565.1
91,3114,3554.4
92,3114,3535.9
93,3114,3519.18
94,3114,3517.44
95,3106,3514.24
96,3106,3499.44
97,3106,3526.0
98,3106,3509.04
99,3106,3516.4
100,3106,3531.18
101,3106,3516.8
102,3106,3526.14
103,3106,3525.96
104,3111,3532.6
105,3111,3536.52
106,3111,3546.04
107,3111,3538.66
108,3111,3518.96
109,3111,3504.94
110,3111,3481.0
111,3111,3467.86
112,3111,3450.44
113,3111,3462.18
114,3111,3462.82
115,3111,3459.64
116,3111,3453.58
117,3111,3428.62
118,3111,3430.72
119,3111,3423.96
120,3111,3435.54
121,3111,3443.16
122,3111,3441.18
123,3111,3438.78
124,3111,3423.86
125,3111,3414.66
126,3111,3392.22
127,3111,3376.94
128,3111,3369.06
129,3111,3360.54
130,3111,3352.92
131,3111,3332.4
132,3111,3321.7
133,3111,3317.96
134,3111,3317.82
135,3111,3316.96
136,3111,3316.08
137,3111,3308.16
138,3111,3293.34
139,3111,3270.44
140,3111,3253.58
141,3111,3252.1
142,3111,3256.4
143,3111,3255.52
144,3111,3250.1
145,3111,3237.36
146,3111,3241.48
147,3111,3240.12
148,3111,3237.6
149,3111,3237.6
150,3111,3236.12
151,3111,3223.8
152,3111,3223.8
153,3111,3223.76
154,3111,3220.12
155,3111,3220.12
156,3111,3204.26
157,3111,3204.26
158,3111,3210.26
159,3111,3211.14
160,3111,3212.82
161,3111,3212.82
162,3111,3210.82
