iteration,best_solution,average_solution
0,25778,137961.16
1,25778,140483.32
2,25778,134856.24
3,25778,129315.42
4,25778,126732.62
5,25778,129602.48
6,25778,124125.66
7,25778,121693.2
8,26326,121426.3
9,26326,124165.28
10,26326,119943.64
11,26326,117708.58
12,26326,112121.04
13,26326,114787.08
14,26326,111762.92
15,26326,109264.96
16,26326,110457.96
17,26326,107521.04
18,26326,104911.46
19,26326,102107.5
20,26326,96665.68
21,26326,96045.1
22,26326,93428.56
23,26685,93807.72
24,26805,92079.18
25,26805,92217.62
26,26805,86606.14
27,26805,86735.0
28,26805,86880.74
29,26805,89217.28
30,26805,86204.24
31,26805,87094.02
32,26805,87032.38
33,26805,84033.38
34,26805,80852.9
35,26805,80262.32
36,26805,79012.62
37,26805,76109.22
38,26805,75497.1
39,26805,74968.5
40,26805,72810.96
41,26805,67691.18
42,26805,67447.14
43,26805,64007.04
44,26805,63768.78
45,26805,60956.62
46,26805,60774.96
47,26805,60728.9
48,26805,60426.54
49,26805,59497.02
50,26805,59496.1
51,26805,57220.84
52,26805,54336.48
53,26805,54111.04
54,26805,53770.06
55,26805,53429.68
56,26805,53471.96
57,26805,51278.7
58,26805,45498.04
59,26805,45423.96
60,26805,45399.5
61,26805,42160.38
62,26805,39491.84
63,26805,39557.46
64,26805,39552.6
65,26805,39394.9
66,26805,39429.5
67,26805,36745.9
68,26805,34063.52
69,26805,34086.6
70,26805,33938.82
71,26805,33677.94
72,26805,33584.14
73,26805,33467.36
74,26805,33454.58
75,26020,33524.52
76,26020,33484.62
77,26020,33365.76
78,26020,33574.84
79,26020,33518.58
80,26020,33518.58
81,26020,33411.92
82,26020,33528.72
83,26020,33528.72
84,26020,33280.92
85,26020,33415.88
86,26020,33372.96
87,26020,33248.18
88,26020,33155.9
89,26020,33407.34
90,26020,33282.9
91,26020,33219.18
92,26020,33077.76
93,26020,33119.42
94,26020,33184.3
95,26805,33252.62
96,26805,33104.16
97,26805,33108.56
98,26805,33046.96
99,26805,33099.68
100,26805,33102.44
101,26805,32979.52
102,26805,33027.34
103,26805,32987.24
104,26805,32896.6
105,26805,32827.96
106,26805,32826.84
107,26805,32779.38
108,26805,32764.54
109,26805,32658.24
110,26805,32618.66
111,26805,31767.82
112,26805,31763.1
113,26805,31742.26
114,26805,31730.58
115,26805,31619.56
116,26805,31699.44
117,26805,31412.98
118,26805,31313.56
119,26805,31313.56
120,26805,31055.44
121,26805,31108.68
122,26805,31022.98
123,26805,31020.82
124,26805,31017.06
125,26805,31112.46
126,26805,31187.32
127,26805,31306.02
128,26805,31218.3
129,26805,31358.78
130,26805,31417.04
131,26805,31417.04
132,26805,31288.14
133,26805,31234.22
134,26805,31268.26
135,26805,31311.46
136,26805,31303.48
137,26805,31439.58
138,26805,31407.94
139,26805,31631.72
140,26805,31543.62
141,26805,31635.66
142,26805,32008.76
143,26805,31894.6
144,26805,31718.28
145,26805,31651.28
146,26805,31420.14
147,26240,31322.14
148,26240,31322.14
149,26240,31371.34
150,26240,31429.9
151,26240,31429.9
152,26240,31365.88
153,26240,31080.62
154,26240,31055.2
155,26240,28229.48
156,26240,28432.6
157,26240,28634.28
158,26240,28543.82
159,26240,28611.18
160,26240,28611.18
161,26240,28618.12
162,26240,28720.76
163,26240,28673.92
164,26240,28495.42
165,26240,28439.28
166,26240,28758.92
167,26240,28706.32
168,26240,28762.02
169,26240,28877.42
170,26240,28852.04
171,26240,28887.52
172,26240,28882.9
173,26240,28822.0
174,26240,28733.08
175,26240,29017.74
176,26574,29117.98
177,26574,29015.18
178,26574,28910.36
179,26574,29015.54
180,26574,29445.64
181,26574,29263.16
182,26574,29267.78
183,26574,29206.92
184,26574,29166.82
185,26574,29210.6
186,26574,29236.54
187,26574,29303.64
188,26574,28980.36
189,26574,28963.96
190,26574,28833.08
191,26574,28824.86
192,26574,28815.62
193,26574,28815.62
194,26574,28666.34
195,26574,28635.82
196,26574,28584.82
197,26574,28540.08
198,26574,28533.06
199,26574,28556.18
200,26574,28523.38
201,26574,28480.18
202,26574,28571.64
203,26574,28496.98
204,26574,28425.74
205,26574,28425.74
206,26574,28414.2
207,26574,28409.58
208,26574,28404.96
209,26574,28404.96
210,26574,28499.42
211,26574,28485.54
212,26574,28367.86
213,26574,28363.24
214,26574,28424.62
215,26574,28420.0
216,26574,28420.0
217,26574,28222.0
218,26252,28138.72
219,26252,28053.46
220,26252,28106.92
221,26252,28111.54
222,26252,28167.28
223,26252,28230.02
224,26252,28107.46
225,26252,28172.96
226,26252,28119.5
227,26252,28114.88
228,26252,28147.8
229,26252,28163.48
230,26252,28169.94
231,26252,28229.84
232,26252,28320.6
233,26574,28331.66
234,26574,28363.96
235,26574,28322.42
236,26574,28271.3
237,26574,28333.58
238,26574,28328.96
239,26574,28324.34
240,26574,28315.22
241,26574,28319.84
242,26574,28263.6
243,26574,28193.48
244,26574,28050.86
245,26574,27967.3
246,26574,27967.3
247,26574,27967.3
248,26574,27958.06
249,26574,27867.3
250,26574,27867.3
251,26574,27867.3
252,26574,27772.18
253,26574,27762.94
254,26574,27758.32
255,26574,27747.66
256,26574,27847.42
257,26574,27773.6
258,26574,27773.6
259,26574,27768.98
260,26574,27314.26
261,26574,27249.0
262,26574,27249.0
263,26574,27169.64
264,26574,27274.84
265,26574,27274.84
266,26574,27270.22
267,26574,27270.22
268,26574,27270.22
269,26574,27170.46
270,26574,27170.46
271,26574,27165.84
272,26574,27170.46
273,26574,27170.46
274,26574,27065.26
275,26574,27065.26
276,26574,27065.26
277,26574,27060.64
278,26574,27084.42
279,26574,27051.5
280,26574,27051.5
281,26574,26992.9
282,26574,27015.46
283,26574,27010.84
284,26574,27086.84
285,26574,27086.84
286,26574,27086.84
287,26574,27086.84
288,26574,27124.0
289,26574,27100.02
290,26574,27100.02
291,26574,27077.46
292,26574,27072.84
293,26574,27068.22
294,26574,26987.6
295,26574,26979.1
296,26574,26984.06
297,26574,26984.06
298,26574,26974.82
299,26574,26974.82
300,26574,27000.02
301,26574,27039.12
302,26574,27034.5
303,26574,26990.78
304,26574,27012.68
305,26574,27012.68
306,26574,27169.58
307,26574,27169.58
308,26574,27169.58
309,26574,27283.52
310,26574,27283.52
311,26574,27381.72
312,26574,27381.72
313,26574,27381.72
314,26574,27381.72
315,26574,27283.52
316,26574,27283.52
317,26574,27236.72
318,26574,27236.72
319,26574,27170.72
320,26574,27355.96
321,26574,27424.34
322,26574,27402.44
323,26574,27402.44
324,26574,27402.44
325,26574,27217.2
326,26574,27217.2
327,26574,27217.2
328,26574,27217.2
329,26574,27212.58
330,26574,27212.58
331,26574,27212.58
332,26574,27212.58
333,26574,27212.58
334,26574,27298.16
335,26574,27395.54
336,26574,27435.48
337,26574,27338.1
338,26574,27338.1
339,26574,27342.72
340,26574,27310.2
341,26574,27310.2
342,26574,27305.58
343,26574,27293.64
344,26574,27293.64
345,26574,27293.64
346,26574,27293.64
347,26574,26968.82
348,26574,26900.44
349,26574,26900.44
350,26574,26900.44
351,26574,26955.26
352,26574,26955.26
353,26574,26955.26
354,26574,26955.26
355,26574,27079.16
356,26574,27012.02
357,26574,27012.02
358,26574,27049.26
359,26574,27021.26
360,26574,27021.26
361,26574,27018.84
362,26574,27018.84
363,26574,26964.02
364,26574,26964.02
365,26574,26964.02
366,26574,26964.02
367,26574,26964.02
368,26574,26964.02
369,26574,26964.02
370,26574,26964.02
371,26574,26964.02
372,26574,26959.4
373,26574,26857.96
374,26574,26964.56
375,26574,26857.96
376,26574,26857.96
377,26574,26857.96
378,26574,26823.14
379,26574,26823.14
380,26574,26823.14
381,26574,26823.14
382,26574,26797.94
383,26574,26797.94
384,26574,26797.94
385,26574,26797.94
386,26574,26797.94
387,26574,26813.04
388,26574,26759.98
389,26574,26717.62
390,26574,26717.62
391,26574,26717.62
392,26574,26717.62
393,26574,26717.62
394,26574,26717.62
395,26574,26717.62
396,26574,26717.62
397,26574,26717.62
398,26574,26593.72
399,26574,26593.72
400,26574,26593.72
401,26574,26593.72
402,26574,26593.72
403,26574,26578.62
404,26574,26589.46
405,26574,26589.46
406,26574,26589.46
407,26574,26578.62
408,26574,26578.62
409,26574,26578.62
410,26574,26578.62
411,26574,26619.44
412,26574,26648.32
413,26574,26648.32
414,26574,26648.32
415,26574,26777.1
416,26574,26777.1
417,26574,26777.1
418,26574,26777.1
419,26574,26772.48
420,26574,26810.14
421,26574,26810.14
422,26574,26924.46
423,26574,26895.58
424,26574,26895.58
425,26574,26854.76
426,26574,26854.76
427,26574,26854.76
428,26574,26740.44
429,26574,26611.66
430,26574,26611.66
431,26574,26611.66
432,26574,26625.52
433,26574,26625.52
434,26574,26625.52
435,26574,26625.52
436,26574,26625.52
437,26574,26625.52
438,26574,26625.52
439,26574,26625.52
440,26574,26625.52
441,26574,26625.52
442,26574,26625.52
443,26574,26625.52
444,26574,26673.24
445,26574,26673.24
446,26574,26673.24
447,26574,26673.24
448,26574,26673.24
449,26574,26776.48
450,26574,26873.66
451,26574,26873.66
452,26574,26770.42
453,26574,26955.58
454,26574,26917.92
455,26574,26820.74
456,26574,26820.74
457,26574,26820.74
458,26574,26806.88
459,26574,26806.88
460,26574,26806.88
461,26574,26806.88
462,26574,26806.88
463,26574,26978.8
464,26574,26978.8
465,26574,27049.82
466,26574,27049.82
467,26574,27049.82
468,26574,27002.1
469,26574,27101.54
470,26574,27101.54
471,26574,27101.54
472,26574,27101.54
473,26574,27101.54
474,26574,27101.54
475,26574,27101.54
476,26574,27138.46
477,26574,27138.46
478,26574,27138.46
479,26574,27067.44
480,26574,26968.0
481,26574,26968.0
482,26574,26968.0
483,26574,26968.0
484,26574,26968.0
485,26574,26968.0
486,26574,26968.0
487,26574,26968.0
488,26574,27023.76
489,26574,27023.76
490,26574,27023.76
491,26574,27154.22
492,26574,27117.3
493,26574,27117.3
494,26574,27117.3
495,26574,27117.3
496,26574,27179.04
497,26574,27179.04
498,26574,27179.04
499,26574,27179.04
500,26574,27211.42
501,26574,27211.42
502,26574,27155.66
503,26574,27155.66
504,26574,27155.66
505,26574,27155.66
506,26574,26973.36
507,26574,26973.36
508,26574,26940.98
509,26574,26940.98
510,26574,26940.98
511,26574,26940.98
512,26574,27123.82
513,26574,27278.02
514,26574,27185.4
515,26574,27185.4
516,26574,27185.4
517,26574,27185.4
518,26574,27185.4
519,26574,27185.4
520,26574,27185.4
521,26574,27276.3
522,26574,27276.3
523,26574,27125.7
524,26574,27125.7
525,26574,27125.7
526,26574,27125.7
527,26574,27125.7
528,26574,27125.7
529,26574,27125.7
530,26574,27126.48
531,26574,27262.28
532,26574,27262.28
533,26574,27262.28
534,26574,27262.28
535,26574,27262.28
536,26574,27262.28
537,26574,27262.28
538,26574,27205.72
539,26574,27115.5
540,26574,27115.5
541,26574,26993.56
542,26574,26993.56
543,26574,27052.76
544,26574,27052.76
545,26574,27052.76
546,26574,27052.76
547,26574,27052.76
548,26574,27052.76
549,26574,27052.76
550,26574,27051.98
551,26574,27051.98
552,26574,27051.98
553,26574,27051.98
554,26574,27051.98
555,26574,27051.98
556,26574,26992.78
557,26574,26992.78
558,26574,26992.78
559,26574,26992.78
