iteration,best_solution,average_solution
0,25778,138334.86
1,25778,137631.24
2,25778,134762.96
3,25778,131949.58
4,25778,128936.66
5,25778,126275.56
6,25778,123555.74
7,25778,120674.5
8,25778,117607.78
9,25778,114586.5
10,25778,114586.5
11,25778,111796.84
12,25778,108934.02
13,25778,108948.04
14,25778,105887.68
15,25778,105940.2
16,25778,103153.48
17,25778,103104.24
18,25778,100381.82
19,25778,100381.82
20,25778,100381.82
21,25778,100381.82
22,25778,100381.82
23,25778,100368.06
24,25778,100368.06
25,25778,100354.3
26,25778,100344.72
27,25778,97559.96
28,25778,97845.36
29,25778,97932.9
30,25778,97932.9
31,25778,97838.0
32,25778,97845.54
33,25778,100613.32
34,25778,97822.76
35,25778,97856.88
36,25778,94929.72
37,25778,94940.24
38,25778,94954.0
39,25778,94941.0
40,25778,92175.76
41,25778,92167.64
42,25778,89287.02
43,25778,87059.18
44,25778,87051.82
45,25778,87030.7
46,25778,87005.72
47,25778,84222.68
48,25778,84215.14
49,25778,81434.36
50,25778,81434.36
51,25778,83606.92
52,25778,80680.88
53,25778,77566.98
54,25778,74615.86
55,25778,74608.5
56,25778,74621.5
57,25778,74613.96
58,25778,71684.22
59,25778,68634.04
60,25778,68628.4
61,25778,68607.86
62,25778,68600.32
63,25778,68592.2
64,25778,66064.48
65,25778,66063.36
66,25778,63272.54
67,25778,63272.54
68,25778,63259.54
69,25778,63244.64
70,25778,63244.64
71,25778,63252.18
72,25778,60657.26
73,25778,60664.8
74,25778,60672.34
75,25778,60504.14
76,25778,60489.24
77,25778,57685.64
78,25778,57685.64
79,25778,55035.58
80,25778,52220.4
81,25778,52205.5
82,25778,49348.34
83,25778,49348.34
84,25778,49355.88
85,25778,46151.98
86,25778,43425.34
87,25778,43412.34
88,25778,43401.38
89,25778,43401.38
90,25778,43393.84
91,25778,43393.84
92,25778,43372.72
93,25778,43382.14
94,25778,43357.16
95,25778,43350.74
96,25778,43350.74
97,25778,43343.2
98,25778,43255.74
99,25778,43248.2
100,25778,42908.28
101,25778,42849.18
102,25778,42849.18
103,25778,42849.18
104,25778,39775.14
105,25778,39782.68
106,25778,39782.68
107,25778,39775.14
108,25778,39775.14
109,25778,39775.14
