,Generation,Best Solution,CrossOver,Mutation,Iteration
2,1000,31914,OX,RM,0
1,10000,29477,OX,RM,0
0,20000,28224,OX,RM,0
2,1000,26069,OX,RM,1
1,10000,25837,OX,RM,1
0,20000,25199,OX,RM,1
2,1000,25019,OX,RM,2
1,10000,24780,OX,RM,2
0,20000,24614,OX,RM,2
2,1000,27238,OX,RM,3
1,10000,26251,OX,RM,3
0,20000,25014,OX,RM,3
2,1000,29060,OX,RM,4
1,10000,28269,OX,RM,4
0,20000,26705,OX,RM,4
2,1000,26412,OX,RM,5
1,10000,26011,OX,RM,5
0,20000,25673,OX,RM,5
2,1000,28192,OX,RM,6
1,10000,25504,OX,RM,6
0,20000,25004,OX,RM,6
2,1000,32216,OX,RM,7
1,10000,27428,OX,RM,7
0,20000,27042,OX,RM,7
2,1000,32309,OX,RM,8
1,10000,30138,OX,RM,8
0,20000,28341,OX,RM,8
2,1000,28284,OX,RM,9
1,10000,27113,OX,RM,9
0,20000,26698,OX,RM,9
2,1000,36186,OX,RM,10
1,10000,34824,OX,RM,10
0,20000,33242,OX,RM,10
2,1000,26259,OX,RM,11
1,10000,24761,OX,RM,11
0,20000,24645,OX,RM,11
2,1000,25315,OX,RM,12
1,10000,24690,OX,RM,12
0,20000,24462,OX,RM,12
2,1000,26724,OX,RM,13
1,10000,26394,OX,RM,13
0,20000,26177,OX,RM,13
2,1000,27131,OX,RM,14
1,10000,25310,OX,RM,14
0,20000,23898,OX,RM,14
2,1000,26578,OX,RM,15
1,10000,26273,OX,RM,15
0,20000,26082,OX,RM,15
2,1000,25525,OX,RM,16
1,10000,24707,OX,RM,16
0,20000,24509,OX,RM,16
2,1000,27029,OX,RM,17
1,10000,26271,OX,RM,17
0,20000,25567,OX,RM,17
2,1000,26678,OX,RM,18
1,10000,26320,OX,RM,18
0,20000,25622,OX,RM,18
2,1000,26805,OX,RM,19
1,10000,26352,OX,RM,19
0,20000,25367,OX,RM,19
2,1000,40715,OX,RM,20
1,10000,39565,OX,RM,20
0,20000,36303,OX,RM,20
2,1000,24864,OX,RM,21
1,10000,24539,OX,RM,21
0,20000,24190,OX,RM,21
2,1000,26355,OX,RM,22
1,10000,25188,OX,RM,22
0,20000,24748,OX,RM,22
2,1000,28660,OX,RM,23
1,10000,26041,OX,RM,23
0,20000,25940,OX,RM,23
2,1000,33987,OX,RM,24
1,10000,30990,OX,RM,24
0,20000,29305,OX,RM,24
2,1000,28250,OX,RM,25
1,10000,27517,OX,RM,25
0,20000,26407,OX,RM,25
2,1000,26875,OX,RM,26
1,10000,26541,OX,RM,26
0,20000,26505,OX,RM,26
2,1000,27483,OX,RM,27
1,10000,26335,OX,RM,27
0,20000,25316,OX,RM,27
2,1000,29469,OX,RM,28
1,10000,27893,OX,RM,28
0,20000,27541,OX,RM,28
2,1000,24698,OX,RM,29
1,10000,23489,OX,RM,29
0,20000,23054,OX,RM,29
2,1000,32220,OX,RM,30
1,10000,30074,OX,RM,30
0,20000,28862,OX,RM,30
2,1000,26390,OX,RM,31
1,10000,26010,OX,RM,31
0,20000,25735,OX,RM,31
2,1000,28204,OX,RM,32
1,10000,26990,OX,RM,32
0,20000,26195,OX,RM,32
2,1000,31004,OX,RM,33
1,10000,30021,OX,RM,33
0,20000,28734,OX,RM,33
2,1000,25355,OX,RM,34
1,10000,25100,OX,RM,34
0,20000,24553,OX,RM,34
