,Generation,Best Solution,m,n,k,Iteration
2,1000,26639,2,3,10,0
1,10000,23605,2,3,10,0
0,20000,22591,2,3,10,0
2,1000,26284,2,3,20,0
1,10000,25189,2,3,20,0
0,20000,24574,2,3,20,0
2,1000,28210,2,3,50,0
1,10000,26419,2,3,50,0
0,20000,25412,2,3,50,0
2,1000,33220,2,5,10,0
1,10000,25307,2,5,10,0
0,20000,28628,2,5,10,0
2,1000,29303,2,5,20,0
1,10000,28307,2,5,20,0
0,20000,25561,2,5,20,0
2,1000,31441,2,5,50,0
1,10000,29961,2,5,50,0
0,20000,29300,2,5,50,0
2,1000,35685,2,8,10,0
1,10000,27589,2,8,10,0
0,20000,24961,2,8,10,0
2,1000,28639,2,8,20,0
1,10000,26699,2,8,20,0
0,20000,24168,2,8,20,0
2,1000,38091,2,8,50,0
1,10000,30409,2,8,50,0
0,20000,27055,2,8,50,0
2,1000,35783,3,3,10,0
1,10000,29368,3,3,10,0
0,20000,26745,3,3,10,0
2,1000,31138,3,3,20,0
1,10000,28308,3,3,20,0
0,20000,26683,3,3,20,0
2,1000,29995,3,3,50,0
1,10000,28176,3,3,50,0
0,20000,25223,3,3,50,0
2,1000,31695,3,5,10,0
1,10000,26192,3,5,10,0
0,20000,24266,3,5,10,0
2,1000,29755,3,5,20,0
1,10000,24369,3,5,20,0
0,20000,23280,3,5,20,0
2,1000,34387,3,5,50,0
1,10000,28485,3,5,50,0
0,20000,24179,3,5,50,0
2,1000,35597,3,8,10,0
1,10000,26142,3,8,10,0
0,20000,23860,3,8,10,0
2,1000,29013,3,8,20,0
1,10000,25388,3,8,20,0
0,20000,22742,3,8,20,0
2,1000,29086,3,8,50,0
1,10000,26309,3,8,50,0
0,20000,24745,3,8,50,0
2,1000,29613,5,3,10,0
1,10000,26068,5,3,10,0
0,20000,25149,5,3,10,0
2,1000,30927,5,3,20,0
1,10000,25832,5,3,20,0
0,20000,23168,5,3,20,0
2,1000,26341,5,3,50,0
1,10000,24928,5,3,50,0
0,20000,23672,5,3,50,0
2,1000,26076,5,5,10,0
1,10000,23645,5,5,10,0
0,20000,23164,5,5,10,0
2,1000,25108,5,5,20,0
1,10000,24485,5,5,20,0
0,20000,22205,5,5,20,0
2,1000,28686,5,5,50,0
1,10000,26541,5,5,50,0
0,20000,25359,5,5,50,0
2,1000,27213,5,8,10,0
1,10000,23254,5,8,10,0
0,20000,22864,5,8,10,0
2,1000,25603,5,8,20,0
1,10000,23473,5,8,20,0
0,20000,23237,5,8,20,0
2,1000,40684,5,8,50,0
1,10000,29045,5,8,50,0
0,20000,24439,5,8,50,0
2,1000,26529,2,3,10,1
1,10000,23850,2,3,10,1
0,20000,22934,2,3,10,1
2,1000,31393,2,3,20,1
1,10000,28897,2,3,20,1
0,20000,26400,2,3,20,1
2,1000,41523,2,3,50,1
1,10000,33464,2,3,50,1
0,20000,31635,2,3,50,1
2,1000,35308,2,5,10,1
1,10000,27033,2,5,10,1
0,20000,24770,2,5,10,1
2,1000,44657,2,5,20,1
1,10000,34864,2,5,20,1
0,20000,30511,2,5,20,1
2,1000,41913,2,5,50,1
1,10000,34837,2,5,50,1
0,20000,32335,2,5,50,1
2,1000,42061,2,8,10,1
1,10000,30006,2,8,10,1
0,20000,24689,2,8,10,1
2,1000,27854,2,8,20,1
1,10000,24402,2,8,20,1
0,20000,24076,2,8,20,1
2,1000,27344,2,8,50,1
1,10000,25701,2,8,50,1
0,20000,24460,2,8,50,1
2,1000,32367,3,3,10,1
1,10000,25586,3,3,10,1
0,20000,23670,3,3,10,1
2,1000,32829,3,3,20,1
1,10000,29109,3,3,20,1
0,20000,26876,3,3,20,1
2,1000,40370,3,3,50,1
1,10000,33669,3,3,50,1
0,20000,32527,3,3,50,1
2,1000,32137,3,5,10,1
1,10000,24243,3,5,10,1
0,20000,23106,3,5,10,1
2,1000,30647,3,5,20,1
1,10000,24855,3,5,20,1
0,20000,23328,3,5,20,1
